floor,point_id,ssid,bssid,rssi_dbm,channel,width_mhz,band,security_string
Second,46,Plainsboro-Public-Library,8a:15:04:52:23:c0,-52.0,6,20,2.4GHz,[ESS][Unknown]
Second,46,Plainsboro-Public-Library,8a:15:04:51:e6:20,-57.0,1,20,2.4GHz,[ESS][Unknown]
Second,46,Plainsboro-Public-Library,8a:15:14:53:33:90,-58.0,36,80,5GHz,[ESS][Unknown]
Second,46,[Hidden],8a:15:04:53:49:7f,-61.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,46,Plainsboro-Public-Library,8a:15:04:53:49:70,-62.0,6,20,2.4GHz,[ESS][Unknown]
Second,46,Plainsboro-Public-Library,8a:15:14:51:e6:20,-62.0,149,20,5GHz,[ESS][Unknown]
Second,46,Plainsboro-Public-Library,8a:15:04:53:3c:30,-66.0,11,20,2.4GHz,[ESS][Unknown]
Second,46,Plainsboro-Public-Library,8a:15:04:53:49:40,-67.0,6,20,2.4GHz,[ESS][Unknown]
Second,46,Plainsboro-Public-Library,8a:15:14:53:49:70,-68.0,157,40,5GHz,[ESS][Unknown]
Second,46,Plainsboro-Public-Library,e2:55:7d:bc:13:60,-69.0,6,20,2.4GHz,[ESS][Unknown]
Second,46,Plainsboro-Public-Library,8a:15:14:52:23:c0,-72.0,153,20,5GHz,[ESS][Unknown]
Second,46,[Hidden],8a:15:14:52:23:cf,-73.0,153,20,5GHz,[WEP][ESS][WEP]
Second,46,Plainsboro-Public-Library,8a:15:14:53:49:40,-75.0,48,80,5GHz,[ESS][Unknown]
Second,46,[Hidden],8a:15:14:53:49:4f,-76.0,48,80,5GHz,[WEP][ESS][WEP]
Second,46,Plainsboro-Public-Library,8a:15:04:52:1c:80,-78.0,11,20,2.4GHz,[ESS][Unknown]
Second,46,Plainsboro-Public-Library,8a:15:14:53:3c:30,-78.0,108,80,5GHz,[ESS][Unknown]
Second,46,[Hidden],8a:15:04:53:34:af,-78.0,6,20,2.4GHz,[WEP][ESS][WEP]
